"intercept","eqid","statid","M","VS","Rrup","Rjb","eq","stat","M_stat","VS_gmean"
1,113,107,5.99,279.46,20.42,14.37,20,260,5.99,279.46
1,113,111,5.99,415.69,22.84,17.65,20,261,5.99,415.69
1,113,544,5.99,191.06,41.32,38.7,20,262,6.34,191.06
1,113,316,5.99,508.08,36.12,31.59,20,263,5.92,508.083999937019
1,113,514,5.99,323.76,36.29,31.8,20,264,5.99,323.76
1,113,516,5.99,318.16,36.55,32.13,20,265,5.99,318.16
1,113,492,5.99,341.14,17.3,4.3,20,266,5.99,341.14
1,113,493,5.99,341.14,17.3,4.3,20,267,5.99,341.14
1,113,497,5.99,341.14,17.3,4.3,20,268,5.99,341.14
1,113,494,5.99,341.14,17.3,4.3,20,269,5.99,341.14
1,113,588,5.99,397.27,19.17,8.03,20,270,5.99,397.27
1,113,542,5.99,345.72,32.8,29.42,20,271,6.34,345.72
1,113,302,5.99,384.44,29.65,25.11,20,272,5.64,384.428571003863
1,113,301,5.99,390.18,44.54,40.96,20,167,5.718,390.183999917989
1,113,539,5.99,508.83,42.26,39.7,20,273,5.814,508.83
1,113,275,5.99,389.95,56.48,54.58,20,168,5.76846153846154,389.969230010576
1,113,321,5.99,275.12,83.59,81.74,20,274,5.99,275.12
1,113,528,5.99,401.37,15.2,0,20,275,6.65333333333333,401.37
1,113,338,5.99,379.43,15.94,1.57,20,276,6.355,379.43
1,113,570,5.99,339.06,18.49,11.47,20,277,6.65333333333333,339.06
1,113,543,5.99,385.87,35.86,32.8,20,278,5.99,385.87
1,113,519,5.99,400.44,31.06,26.91,20,279,5.99,400.44
1,113,515,5.99,320.93,34.99,30.33,20,280,6.65333333333333,320.93
1,113,517,5.99,393.67,31.93,26.71,20,281,6.635,393.67
1,113,553,5.99,402.16,30.37,24.82,20,282,6.65333333333333,402.16
1,113,344,5.99,440.54,42.34,38.55,20,283,6.34,440.54
1,113,510,5.99,348.87,40.61,36.64,20,284,5.99,348.87
1,113,575,5.99,260.6,40.36,37.67,20,285,6.34,260.6
1,113,537,5.99,289.04,36.11,33.07,20,286,5.99,289.04
1,113,313,5.99,996.43,50.39,47.25,20,287,6.09666666666667,996.43
1,113,583,5.99,416.93,34.34,31.13,20,288,6.65333333333333,416.93
1,113,565,5.99,334.69,16.32,6.42,20,289,6.65333333333333,334.69
1,113,97,5.99,298.68,14.73,2.6,20,290,5.99,298.68
1,116,216,6.54,208.71,17.03,17.03,21,42,6.296,208.71
1,116,217,6.54,205.78,27,27,21,44,6.256,205.78
1,116,152,6.54,192.05,18.2,18.2,21,291,6.54,192.05
1,116,262,6.54,266.01,18.48,18.48,21,292,6.54,266.01
1,116,207,6.54,348.69,0.95,0.95,21,66,6.32333333333333,348.69
1,116,208,6.54,316.64,22.25,22.25,21,67,6.25666666666667,316.64
1,116,261,6.54,316.64,11.16,11.16,21,293,6.54,316.64
1,116,218,6.54,191.14,25.88,25.88,21,88,4.69285714285714,191.111427717186
1,116,94,6.54,362.38,5.61,5.61,21,68,6.32333333333333,362.38
1,116,264,6.54,193.67,13.03,13.03,21,70,6.5425,193.67
1,116,233,6.54,179,23.85,23.85,21,294,5.05,179
1,118,481,6.93,391.91,41.88,41.71,22,295,6.93,391.91
1,118,123,6.93,133.11,43.23,43.06,22,296,5.965,133.11
1,118,485,6.93,271.06,52.68,52.53,22,297,6.93,271.06
1,118,469,6.93,517.06,52.53,52.39,22,71,5.5625,517.069999709911
1,118,484,6.93,415.27,41.86,41.68,22,298,5.615,415.284999729102
1,118,153,6.93,449.64,41.03,40.85,22,299,6.93,449.64
1,118,445,6.93,239.69,24.57,24.27,22,137,6.56,239.69
1,118,593,6.93,190,71,70.9,22,300,6.93,190
1,118,184,6.93,488.77,20.26,19.9,22,138,6.56,488.77
1,118,185,6.93,488.77,20.26,19.9,22,301,6.93,488.77
1,118,14,6.93,476.54,10.72,3.85,22,302,6.93,476.54
1,118,1593,6.93,439.58,61.71,61.15,22,303,6.93,439.58
1,118,1596,6.93,304.08,67.52,66.89,22,304,6.93,304.08
1,118,1597,6.93,331.21,50.99,50.71,22,305,6.93,331.21
1,118,1598,6.93,422.79,71.39,71.28,22,306,6.93,422.79
1,118,1599,6.93,391.01,53.6,53.46,22,307,6.93,391.01
1,118,1600,6.93,509.87,69.38,68.22,22,308,6.93,509.87
1,118,1602,6.93,512.27,78.41,78.32,22,309,6.93,512.27
1,118,486,6.93,623.52,79.25,79.16,22,310,5.12,623.506666595386
1,118,1601,6.93,571.99,35.49,35.28,22,311,6.93,571.99
1,118,417,6.93,288.62,15.23,8.65,22,139,6.37333333333333,288.62
1,118,442,6.93,462.24,3.85,0.16,22,140,5.80666666666667,462.226666282048
1,118,454,6.93,295.01,20.8,20.44,22,312,5.615,295.004999957628
1,118,449,6.93,561.43,20.34,19.97,22,29,5.492,561.417999807629
1,118,1164,6.93,318.31,58.8,58.68,22,313,4.86,318.304999960729
1,118,1488,6.93,238.06,35.52,35.31,22,314,6.93,238.06
1,118,1603,6.93,198.74,76.97,76.87,22,315,5.465,198.719998993559
1,118,482,6.93,116.35,43.94,43.77,22,141,6.56,116.35
1,118,1605,6.93,126.4,45.58,45.42,22,316,6.93,126.4
1,118,195,6.93,284.79,39.85,39.66,22,317,6.93,284.79
1,118,444,6.93,367.57,39.51,39.32,22,72,5.848,367.57
1,118,416,6.93,729.65,9.96,9.19,22,142,5.58,729.662499678797
1,118,453,6.93,308.55,10.97,10.27,22,318,6.93,308.55
1,118,424,6.93,1428.14,9.64,8.84,22,30,6.28666666666667,1428.14
1,118,425,6.93,270.84,11.07,10.38,22,31,5.79,270.82999944612
1,118,426,6.93,349.85,12.82,12.23,22,32,5.37666666666667,349.866665872739
1,118,450,6.93,221.78,14.34,13.81,22,33,5.79,221.784999830922
1,118,451,6.93,663.31,18.33,17.92,22,34,5.612,663.307999987939
1,118,452,6.93,333.85,22.68,22.35,22,143,6.56,333.85
1,118,194,6.93,584.17,79.81,79.71,22,319,5.3325,584.177499855568
1,118,448,6.93,281.61,30.49,30.25,22,35,6.28666666666667,281.61
1,118,487,6.93,337.88,54.15,54.01,22,320,6.93,337.88
1,118,427,6.93,282.14,27.93,27.67,22,321,5.37166666666667,282.126666036512
1,118,188,6.93,215.54,24.82,24.52,22,322,6.93,215.54
